node,PWS_CU_MGD,PWS_WD_MGD,PWR_THERM_CU_MGD,PWR_THERM_WD_MGD,IND_CU_MGD,IND_WD_MGD,MIN_CU_MGD,MIN_WD_MGD,IRR_CU_MGD,IRR_WD_MGD,OTH_CU_MGD,OTH_WD_MGD,Total_CU_MGD,Total_WD_MGD
reservoir_cannonsville,0.07790617311532777,0.7790617311532776,0.0,0.0,0.09449264477014489,1.3725376081200058,1.977284992325565e-05,0.0001647737493604637,6.118097660552829e-06,6.797886289503162e-06,0.0,0.0,0.17242470883305647,2.151770910908933
reservoir_pepacton,0.029456064277369704,0.2945606427736971,0.0,0.0,2.9509903238519336e-05,0.0006978521343345137,0.0,0.0,0.009204920564833402,0.010227689516481585,0.0,0.0,0.038690494745441624,0.30548618442451314
reservoir_prompton,0.02305035240279621,0.2305035240279621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015966156687150446,0.15965619691823693,0.03901650908994665,0.390159720946199
reservoir_wallenpaupack,0.06813951117274204,0.6813951117274205,0.0,0.0,0.0,0.0,0.004828807875711014,0.04024006563092516,2.5101430216336733e-05,2.7890478018151936e-05,0.027278293996984112,0.2663696546885008,0.1002717144756535,0.9880327225248646
reservoir_shoholaMarsh,0.03227262583217516,0.3227262583217514,0.0,0.0,0.00038738679900823277,0.003873867990082328,4.764605620033856e-06,3.970504683361548e-05,0.0,0.0,0.0072684945830896715,0.06829797478994706,0.0399332718198931,0.3949378061486144
reservoir_mongaupeCombined,0.05961316347398863,0.5961316347398865,0.0,0.0,0.0,0.0,0.00010599873009306905,0.000883322750775577,1.4301369233788395e-05,1.5890410259764897e-05,1.9402586033901807e-05,0.00019026906554174607,0.059752866159349396,0.5972211169664636
reservoir_neversink,0.0059172010748832085,0.05917201074883207,0.0,0.0,0.0,0.0,0.0023970252504977047,0.019975210420814262,0.0004859498511014632,0.0005399442790016263,0.0006579620603087368,0.006452223747809868,0.009458138236791114,0.08613938919645782
reservoir_beltzvilleCombined,0.011116070763328635,0.11116070763328632,3.2444525949632455e-05,3.2444525949632455e-05,7.1977443655132e-06,7.197744365513199e-05,0.00012519688079242036,0.0010433073399368368,0.0367029258029952,0.040781028669994716,0.020464810542834454,0.3967641198010375,0.06844864626026585,0.5498535854138601
reservoir_fewalter,0.17747827676290234,1.7747827676290215,0.0,0.0,0.005188294837251995,0.05188235785224451,0.0016782923936384511,0.013985769946987098,5.456222660285432e-06,6.06246962253937e-06,0.03523610385210505,0.1974733456238529,0.21958642406855813,2.038130303521729
reservoir_hopatcong,0.11239642966576915,1.1239642966576908,0.0,0.0,2.4040447356547965e-05,0.00024040447356547974,0.00046739674966650365,0.00389497291388753,0.0,0.0,0.0056083754949580724,0.055966995798566524,0.11849624235775028,1.1840666698437103
reservoir_nockamixon,0.23323148912922623,2.3323148912922624,0.0,0.0,0.0025134714996045355,0.06996564474291157,0.00022911173504581005,0.0019092644587150832,0.00566333695841133,0.006292596620457033,0.000376226879503681,0.0037239818362754715,0.2420136362017916,2.4142063789506216
reservoir_assunpink,0.1466278777937299,1.4662787779372985,0.0,0.0,3.6773204663146175e-06,3.677320466314617e-05,2.2397611278840207e-07,1.8664676065700126e-06,0.03772465059616458,0.04191627844018287,0.016386274232031012,0.03834558065079533,0.20074270391850463,1.5465792767005464
reservoir_ontelaunee,0.2030930158332754,2.030930158332754,4.957932580436002e-05,5.059114877995923e-05,0.04499199084349492,0.450902541033561,0.6418098407073596,5.348415339227997,0.020846463682071322,0.023162737424523683,0.26604200113549753,0.2668163086971911,1.176832891527503,8.120277675864807
reservoir_stillCreek,0.0004013180578605577,0.004013180578605577,0.024760556298507437,0.02526496851652717,0.00040946118077131666,0.0040946118077131635,0.3511803143513138,2.9265026195942925,0.023161675561338056,0.02573519506815339,0.03527521188887688,0.035306967577847154,0.4351885373386681,3.0209175431431388
reservoir_blueMarsh,0.2760621770077197,2.7606217700771967,0.0,0.0,0.002826499393545646,0.028250815380219698,4.7988068715823755e-06,3.999005726318641e-05,0.027279436210418444,0.030310484678242697,0.057724988151350014,0.11260182344083267,0.36389789956990537,2.931824883633755
reservoir_greenLane,0.44508308319030293,4.450830831903029,2.2197486108833572e-07,1.109874305441678e-05,0.026794451184033438,0.2574435656691351,0.09686429923928501,0.8072024936607081,0.12890201797999531,0.14322446442221706,0.047344995938274674,0.43544220183250176,0.7449890695067525,6.0941546562306455
reservoir_marshCreek,0.05923160978991953,0.5923160978991951,1.315654538755977e-07,6.578272693779882e-06,2.8734555036496987e-05,0.0003417724862954287,0.016601861149370668,0.138348842911422,0.001295017292689301,0.0014389081029881107,0.002417648447598274,0.0435894952678434,0.07957500280006814,0.7760416949404378
link_delLordville,0.11098756052171152,1.109875605217115,0.0,0.0,1.787134228565561e-05,0.00042262267878900633,0.02829730160565946,0.23581084671382882,2.8606803586100468e-06,3.1785337317889496e-06,6.481172719010852e-06,5.7929398519220086e-05,0.13931207532273424,1.3461701825419838
link_delMontague,0.4751651825439435,4.751651825439433,0.0,0.0,5.026530480398923e-05,0.0005020874151812816,0.0836428697245553,0.6970239143712956,0.022191919712227125,0.02465768856914127,0.0397275870961798,0.3892760317876446,0.6207778243817098,5.863111547582696
link_delTrenton,4.435839013779383,44.35839013779383,0.44189258856937386,0.48094816466513796,1.1412517324373408,10.654389810039936,2.2213493091541108,19.016913785846953,0.6895075270189736,0.7661194744655263,1.061092777848633,12.01706331874292,9.990932948807814,87.2938246915543
link_outletAssunpink,0.2339310496629664,2.339310496629664,0.0,0.0,2.4983295561374045e-05,0.00024983295561374044,4.153644810929588e-07,3.461370675774648e-06,0.06022919388906069,0.06692132654340077,0.02630216831380686,0.06182753501981519,0.32048781052587644,2.4683126525191694
link_outletSchuylkill,2.5811984884160655,25.811984884160655,0.05767140223756113,0.3416579982144155,1.0547117635787986,4.803953625457003,2.9278308654039473,24.398590545032924,0.45716828281166727,0.5079647586796302,0.19143520584968754,0.9725529754850544,7.270016008297728,56.836704787029674
link_outletChristina,0.41473940474927296,4.147394047492729,2.7998366112369687e-07,1.3999183056184837e-05,0.07889053705445889,0.15164546186596456,0.08525962859698817,0.7104975202588968,0.06333542759559956,0.07037269732844394,0.025148869683764726,0.3503343317730553,0.6673741476637455,5.4302580579021456
reservoir_merrillCreek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
